event_time,event_time_formatted,code,value,status,event_from,event_id
1766690709683,2025-12-25 14:25:09,liquid_depth,75,1,1,7
1766690706393,2025-12-25 14:25:06,liquid_depth,74,1,1,7
1766690705249,2025-12-25 14:25:05,liquid_level_percent,62,1,1,7
1766690705235,2025-12-25 14:25:05,liquid_depth,75,1,1,7
1766690704170,2025-12-25 14:25:04,liquid_level_percent,64,1,1,7
1766690704155,2025-12-25 14:25:04,liquid_depth,77,1,1,7
1766690703078,2025-12-25 14:25:03,liquid_depth,74,1,1,7
1766690700860,2025-12-25 14:25:00,liquid_level_percent,62,1,1,7
1766690700846,2025-12-25 14:25:00,liquid_depth,75,1,1,7
1766690699782,2025-12-25 14:24:59,liquid_level_percent,64,1,1,7
1766690699769,2025-12-25 14:24:59,liquid_depth,77,1,1,7
1766690574982,2025-12-25 14:22:54,liquid_level_percent,62,1,1,7
1766690573826,2025-12-25 14:22:53,liquid_level_percent,61,1,1,7
1766690572750,2025-12-25 14:22:52,liquid_level_percent,62,1,1,7
1766690571673,2025-12-25 14:22:51,liquid_level_percent,61,1,1,7
1766690570517,2025-12-25 14:22:50,liquid_level_percent,62,1,1,7
1766690569441,2025-12-25 14:22:49,liquid_level_percent,61,1,1,7
1766690568365,2025-12-25 14:22:48,liquid_level_percent,62,1,1,7
1766690567209,2025-12-25 14:22:47,liquid_level_percent,61,1,1,7
1766690566133,2025-12-25 14:22:46,liquid_level_percent,62,1,1,7
1766690565057,2025-12-25 14:22:45,liquid_level_percent,61,1,1,7
1766690563901,2025-12-25 14:22:43,liquid_level_percent,62,1,1,7
1766690562825,2025-12-25 14:22:42,liquid_level_percent,61,1,1,7
1766690561669,2025-12-25 14:22:41,liquid_level_percent,62,1,1,7
1766690560596,2025-12-25 14:22:40,liquid_level_percent,61,1,1,7
1766690559517,2025-12-25 14:22:39,liquid_level_percent,62,1,1,7
1766690558362,2025-12-25 14:22:38,liquid_level_percent,61,1,1,7
1766690557286,2025-12-25 14:22:37,liquid_level_percent,62,1,1,7
1766690556210,2025-12-25 14:22:36,liquid_level_percent,61,1,1,7
1766690555054,2025-12-25 14:22:35,liquid_level_percent,62,1,1,7
1766690553978,2025-12-25 14:22:33,liquid_level_percent,61,1,1,7
1766690552900,2025-12-25 14:22:32,liquid_level_percent,62,1,1,7
1766690551741,2025-12-25 14:22:31,liquid_level_percent,61,1,1,7
1766690550655,2025-12-25 14:22:30,liquid_level_percent,62,1,1,7
1766690549578,2025-12-25 14:22:29,liquid_level_percent,61,1,1,7
1766690548422,2025-12-25 14:22:28,liquid_level_percent,62,1,1,7
1766690547343,2025-12-25 14:22:27,liquid_level_percent,61,1,1,7
1766690546264,2025-12-25 14:22:26,liquid_level_percent,62,1,1,7
1766690475571,2025-12-25 14:21:15,liquid_depth,74,1,1,7
1766690474421,2025-12-25 14:21:14,liquid_depth,73,1,1,7
1766690473354,2025-12-25 14:21:13,liquid_depth,74,1,1,7
1766690472202,2025-12-25 14:21:12,liquid_depth,73,1,1,7
1766690471129,2025-12-25 14:21:11,liquid_depth,74,1,1,7
1766690470059,2025-12-25 14:21:10,liquid_depth,73,1,1,7
1766690468909,2025-12-25 14:21:08,liquid_depth,74,1,1,7
1766690467840,2025-12-25 14:21:07,liquid_depth,73,1,1,7
1766690466689,2025-12-25 14:21:06,liquid_depth,74,1,1,7
1766690465619,2025-12-25 14:21:05,liquid_depth,73,1,1,7
1766690464470,2025-12-25 14:21:04,liquid_depth,74,1,1,7
1766690463399,2025-12-25 14:21:03,liquid_depth,73,1,1,7
1766690462329,2025-12-25 14:21:02,liquid_depth,74,1,1,7
1766690461180,2025-12-25 14:21:01,liquid_depth,73,1,1,7
1766690460109,2025-12-25 14:21:00,liquid_depth,74,1,1,7
1766690458959,2025-12-25 14:20:58,liquid_depth,73,1,1,7
1766690457891,2025-12-25 14:20:57,liquid_depth,74,1,1,7
1766690456739,2025-12-25 14:20:56,liquid_depth,73,1,1,7
1766690455670,2025-12-25 14:20:55,liquid_depth,74,1,1,7
1766690454599,2025-12-25 14:20:54,liquid_depth,73,1,1,7
1766690453449,2025-12-25 14:20:53,liquid_depth,74,1,1,7
1766690452378,2025-12-25 14:20:52,liquid_depth,73,1,1,7
1766690451227,2025-12-25 14:20:51,liquid_depth,74,1,1,7
1766690450157,2025-12-25 14:20:50,liquid_depth,73,1,1,7
1766690449087,2025-12-25 14:20:49,liquid_depth,74,1,1,7
1766690447935,2025-12-25 14:20:47,liquid_depth,73,1,1,7
1766690445711,2025-12-25 14:20:45,liquid_depth,74,1,1,7
1766690444640,2025-12-25 14:20:44,liquid_depth,73,1,1,7
1766690442421,2025-12-25 14:20:42,liquid_depth,74,1,1,7
1766690441349,2025-12-25 14:20:41,liquid_depth,73,1,1,7
